title,status,image,chCount,vCount,rating,synopsis,genre
Hunter x Hunter,Ongoing,https://media.kitsu.io/manga/poster_images/68/large.jpg?1501129943,,0,84.39,"Hunters are a special breed, dedicated to tracking down treasures, magical beasts, and even other men. But such pursuits require a license, and less than one in a hundred thousand can pass the grueling qualification exam. Those who do pass gain access to restricted areas, amazing stores of information, and the right to call themselves Hunters.

(Source: Shonen Jump)","['psychological', 'super-power', 'fantasy', 'action', 'adventure']"
Ansatsu Kyoushitsu,Finished,https://media.kitsu.io/manga/poster_images/19682/large.jpg?1434292697,187,21,84.38,"The students of class 3-E have a mission: kill their teacher before graduation. He has already destroyed the moon, and has promised to destroy the Earth if he can not be killed within a year. But how can this class of misfits kill a tentacled monster, capable of reaching Mach 20 speed, who may be the best teacher any of them have ever had?","['comedy', 'sci-fi', 'supernatural', 'psychological', 'school', 'action']"
One Punch-Man,Ongoing,https://media.kitsu.io/manga/poster_images/24147/large.jpg?1434302168,,0,84.38,"Everything about a young man named Saitama screams ""AVERAGE,” from his lifeless expression, to his bald head, to his unimpressive physique. However, this average-looking fellow doesn't have your average problem... He's actually a superhero that's looking for tough opponents! The problem is, every time he finds a promising candidate he beats the snot out of them in one punch. Can Saitama finally find an evil villain strong enough to challenge him? Follow Saitama through his hilarious romps as he searches for new bad guys to challenge!

(Source: Viz)","['comedy', 'sci-fi', 'supernatural', 'super-power', 'parody', 'action']"
Haikyuu!!,Finished,https://media.kitsu.io/manga/poster_images/12619/large.jpg?1497274177,402,45,84.38,"Ever since he saw the legendary player known as the ""Little Giant"" compete at the national volleyball finals, Shoyo Hinata has been aiming to be the best volleyball player ever! He decides to join the team at the high school the Little Giant went to-and then surpass him. Who says you need to be tall to play volleyball when you can jump higher than anyone else?

After losing his first and last volleyball match against Tobio Kageyama, ""the King of the Court,"" Shoyo Hinata swears to become his rival after graduating middle school. But what happens when the guy he wants to defeat ends up being his teammate?!

(Source: Viz Media)","['comedy', 'sports', 'sports', 'school', 'drama']"
Naruto Shinden Series,Finished,https://media.kitsu.io/manga/poster_images/36702/large.jpg?1449854999,11,3,84.37,The story will focus on the brothers who have eyes that see through to the truth and who live on the threshold of hope and despair. Itachi's past and Sasuke's future will be made clear.,"['martial-arts', 'super-power', 'action', 'adventure']"
Solo Leveling,Ongoing,https://media.kitsu.io/manga/poster_images/54114/large.jpg?1541956484,,,84.37,"10 years ago, after “the Gate” that connected the real world with the monster world opened, some of the ordinary, everyday people received the power to hunt monsters within the Gate. They are known as ""Hunters"". However, not all Hunters are powerful. My name is Sung Jin-Woo, an E-rank Hunter. I'm someone who has to risk his life in the lowliest of dungeons, the ""World's Weakest"". Having no skills whatsoever to display, I barely earned the required money by fighting in low-leveled dungeons… at least until I found a hidden dungeon with the hardest difficulty within the D-rank dungeons! In the end, as I was accepting death, I suddenly received a strange power, a quest log that only I could see, a secret to leveling up that only I know about! If I trained in accordance with my quests and hunted monsters, my level would rise. Changing from the weakest Hunter to the strongest S-rank Hunter!

(Source: MU)",['none']
Yakusoku no Neverland,Finished,https://media.kitsu.io/manga/poster_images/38047/large.jpg?1490648273,181,20,84.33,"Emma and her friends have a pretty good life at the orphanage they grew up in. Though the rules may be strict, the caretaker is kind. But why are the children forbidden from ever leaving...?

(Source: VIZ Media)","['sci-fi', 'mystery', 'horror']"
Jibaku Shounen Hanako-kun,Ongoing,https://media.kitsu.io/manga/poster_images/40121/large.jpg?1505957669,,,84.32,"""Hanako-san, Hanako-san...are you there?"" At Kamome Academy, rumors abound about the school's Seven Mysteries, one of which is Hanako-san. Said to occupy the third stall of the third floor girls' bathroom in the old school building, Hanako-san grants any wish when summoned. Nene Yashiro, an occult-loving high school girl who dreams of romance, ventures into this haunted bathroom...but the Hanako-san she meets there is nothing like she imagined! Kamome Academy's Hanako-san...is a boy!(Source: Yen Press)","['supernatural', 'school']"
Koe no Katachi,Finished,https://media.kitsu.io/manga/poster_images/16554/large.jpg?1537882352,64,7,84.3,"Shoya is a bully. When Shoko, a girl who can't hear, enters his elementary school class, she becomes their favorite target, and Shoya and his friends goad each other into devising new tortures for her. But the children's cruelty goes too far. Shoko is forced to leave the school, and Shoya ends up shouldering all the blame. Six years later, the two meet again. Can Shoya make up for his past mistakes, or is it too late?

(Source: Kodansha Comics)","['school', 'drama', 'romance']"
Kimi no Na wa.,Finished,https://media.kitsu.io/manga/poster_images/38482/large.jpg?1537883647,9,3,84.22,"Based on the hit animated film! Mitsuha, a high school girl from a town deep in the mountains, dreams of an unfamiliar life in Tokyo. Taki, a high school boy from Tokyo, dreams that he is a girl living in the mountains. As the two change places in their dreams, their encounter sets a miraculous story into motion.

(Source: Yen Press)","['supernatural', 'school', 'drama', 'romance']"
Tokyo Ghoul:re,Finished,https://media.kitsu.io/manga/poster_images/26401/large.jpg?1505947669,179,16,84.04,"The Commission of Counter Ghoul is the only organization fighting the Ghoul menace, and they will use every tool at their disposal to protect humanity from its ultimate predator. Their newest weapon in this hidden war is an experimental procedure that implants human investigators with a Ghoul's Kagune, giving them Ghoul powers and abilities. But both the procedure and the newly formed Qs Squad are untested. Will they become heroes… or monsters?

(Source: Viz Media)","['mystery', 'supernatural', 'psychological', 'horror', 'drama', 'action']"
Nanatsu no Taizai,Finished,https://media.kitsu.io/manga/poster_images/24208/large.jpg?1541845803,346,41,83.94,"When they were accused of trying to overthrow the monarchy, the feared warriors the Seven Deadly Sins were sent into exile. Princess Elizabeth discovers the truth - the Sins were framed by the king's guard, the Holy Knights - too late to prevent them from assassinating her father and seizing the throne!

Now the princess is on the run, seeking the Sins to help her reclaim the kingdom. But the first Sin she meets, Meliodas, is a little innkeeper with a talking pig. He doesn't even have a real sword! Have the legends of the Sins' strength been exaggerated?

(Source: Kodansha Comics)","['supernatural', 'fantasy', 'action', 'ecchi', 'adventure']"
Fullmetal Alchemist,Finished,https://media.kitsu.io/manga/poster_images/66/large.jpg?1490571198,109,27,83.9,"The rules of alchemy state that to gain something, one must lose something of equal value. Alchemy is the process of taking apart and reconstructing an object into a different entity, with the rules of alchemy to govern this procedure. However, there exists an object that can bring any alchemist above these rules, the object known as the Philosopher's Stone. The young Edward Elric is a particularly talented alchemist who through an accident years back lost his younger brother Alphonse and one of his legs. Sacrificing one of his arms as well, he used alchemy to bind his brother's soul to a suit of armor. This lead to the beginning of their journey to restore their bodies, in search for the legendary Philosopher's Stone.","['comedy', 'military', 'drama', 'action', 'adventure']"
Kuroshitsuji,Ongoing,https://media.kitsu.io/manga/poster_images/8549/large.jpg?1434267863,,,83.72,"In Victorian era Europe, a young boy loses everything he once held near and dear to a vicious plot. In his moment of death, he strikes a deal with a demon: his soul, in exchange for revenge. Ciel Phantomhive is now the head of the Phantomhive corporation, handling all business affairs as well as the underground work for the Queen of England. His new partner is a demon butler, Sebastian Michaelis, whose prowess as a butler is only surpassed by his strength as a demon.

The story follows the two along with their other servants, as they work to unravel the plot behind Ciel's parents' murder, and the horrendous tragedies that befell Ciel in the month directly after.","['comedy', 'mystery', 'supernatural', 'historical', 'demons', 'fantasy', 'action']"
Tokyo卍Revengers,Ongoing,https://media.kitsu.io/manga/poster_images/40278/large.jpg?1509309884,,,83.65,"Takemichi is a 26-year-old unemployed virgin who learns that the girl he dated in middle school—the only girl he ever dated—has died. Then, after an accident he finds himself in a time leap back to his middle school years. He vows to change the future and save the girl, and to do that he aims to rise to the top of the Kantou region's most brutal delinquent gang.

(Source: MU)","['school', 'drama', 'action']"
Fairy Tail+,Finished,https://media.kitsu.io/manga/poster_images/26002/large.jpg?1495602205,3,0,83.63,"This artbook contains 3 side stories that were not included in the main volumes.

1. Mira-sensei no Henshin Mahou Lesson (Mira-Sensei's Transforming Magic Class)
2. Yousei no Izumi e Youkoso! (Welcome to Fairy Fountain)
3. Nagagutsu wo Haita Happy (Happy in Boots)

Also contains ""Fairy Megane"" (crossover one-shot between ""Fairy Tail"" and ""Yankee-kun to Megane-chan"").","['comedy', 'magic', 'fantasy']"
Berserk,Ongoing,https://media.kitsu.io/manga/poster_images/8/large.jpg?1439065896,,0,83.52,"Guts, known as the Black Swordsman, seeks sanctuary from the demonic forces that pursue him and his woman, and also vengeance against the man who branded him as an unholy sacrifice. Aided only by his titanic strength, skill, and sword, Guts must struggle against his bleak destiny, all the while fighting with a rage that might strip him of his humanity. Berserk is a dark and brooding story of outrageous swordplay and ominous fate, in the theme of Shakespeare's Macbeth.

Included one-shot:
Volume 14: Berserk: The Prototype","['supernatural', 'psychological', 'military', 'demons', 'fantasy', 'horror', 'drama', 'action', 'adventure']"
Chainsaw Man,Finished,https://media.kitsu.io/manga/poster_images/54139/large.jpg?1555774810,97,11,83.48,"The name says it all! Denji's life of poverty is changed forever when he merges with his pet chainsaw dog, Pochita! Now he's living in the big city and an official Devil Hunter. But he's got a lot to learn about his new job and chainsaw powers!

(Source: Mangaplus)",['none']
The Beginning After the End,Ongoing,https://media.kitsu.io/manga/poster_images/54597/large.jpg?1599912625,,,83.34,"King Grey has unrivaled strength, wealth, and prestige in a world governed by martial ability. However, solitude lingers closely behind those with great power. Beneath the glamorous exterior of a powerful king lurks the shell of man, devoid of purpose and will.Reincarnated into a new world filled with magic and monsters, the king has a second chance to relive his life. Correcting the mistakes of his past will not be his only challenge, however. Underneath the peace and prosperity of the new world is an undercurrent threatening to destroy everything he has worked for, questioning his role and reason for being born again.(Source:Mangadex)",['none']
