title,status,image,chCount,vCount,rating,synopsis,genre
Maiko-san Chi no Makanai-san,Ongoing,https://media.kitsu.io/manga/poster_images/39441/large.jpg?1495284098,,,78.2,"Within the winding streets of Kyoto's geisha district, there lives a 16 year old girl named Kiyo. After failing to become a Maiko, an apprentice traditional Japanese performer, Kiyo works as the caterer for her troupe. This is the story of her daily life.(Source: MU)","['slice-of-life', 'Cooking']"
Koi to Utatane,Finished,https://media.kitsu.io/manga/poster_images/39494/large.jpg?1597699496,28,3,78.2,"Hana loves to research sleep almost as much as she loves the activity itself. She lives together with Takashi Kiichi, a student at the school in which she teaches. Together they explore the exciting world of naps!",['none']
Lonely to Organdy,Finished,https://media.kitsu.io/manga/poster_images/38394/large.jpg?1476549249,5,0,78.2,"Haruta gets involved in an accident with a scooter, believing he would die from his injuries but instead of that he starts to see ghosts!","['supernatural', 'yaoi']"
Memorize,Ongoing,https://media.kitsu.io/manga/poster_images/57570/large.jpg?1602119692,,,78.2,"Hall Plain, a different world from Earth. After being discharged from military service, Kim Su Hyun is suddenly abducted to the world of Hall Plain. After many twists and turns, he manages to reach the peak of the Hall Plain. However, all the anguish he had experienced during his 10 years in the Hall Plain left him in despair. To change his bitter past, Kim Su Hyun decides to use the Zero Code's power to turn back time 10 years. (Source: Zero Scans)",['none']
Mousou Elektel,Finished,https://media.kitsu.io/manga/poster_images/25071/large.jpg?1434304137,25,0,78.2,"Skipping class on the rooftop one day, Shunpei's best friend Fumi tells him he thinks he might be gay. All set to freak out (""Then up 'til now he's been thinking that way about me?!"") Shunpei's a bit nonplussed when Fumi's confession turns out...to have nothing to do with him at all! In fact, Fumi's already going out with someone else. Cue adolescent meltdown.

(Source: MU)","['comedy', 'yaoi']"
Aqua,Finished,https://media.kitsu.io/manga/poster_images/313/large.jpg?1435592459,10,2,78.2,"After 150 years of Terraforming, Aqua, the formerly planet known as Mars, now has more than 90 percent of its surface covered in water. A young girl named Akari Mizunashi arrives at the city of Neo-Venezia, an exact replica of the old Italian city of Venice, hoping to become an Undine, the most coveted job on Aqua. (Source: Tokyopop)","['comedy', 'sci-fi', 'sports', 'slice-of-life', 'drama', 'adventure']"
Madan no Ou to Vanadis,Finished,https://media.kitsu.io/manga/poster_images/23430/large.jpg?1434300635,95,0,78.19,"Set in Western Europe during times of war, Eleanor ""Ellen"" Vertalia, one of the Vanadis of Zhcted, leads the battle into Brune. There are, in fact, seven Vanadis, named for having each received a powerful weapon from the dragon to individually reign over seven territories. The power of the Vanadis invokes dread and fear from their enemies. An earl in the service of the country of Brune, a young archer by the name of Tigre, experienced the Vandis's power firsthand after being defeated on the battlefield by Ellen. However, Ellen chose to spare his life after witnessing his skills, but in exchange, he is asked to serve her.
(Source: JCafe)","['historical', 'harem', 'fantasy', 'romance', 'ecchi', 'adventure']"
Running on Empty,Finished,https://media.kitsu.io/manga/poster_images/20597/large.jpg?1434294669,12,2,78.19,"Han Soo-bum has nothing to lose. Dying seems to be the solution to all his problems. How hard can it be to kill himself? Unless he gets abducted by a hot guy running from the law who has been falsely accused. Where will they run to, and what are these feelings blooming inside our fugitive’s heart? (Noir)",['shounen-ai']
Hammer Session!,Finished,https://media.kitsu.io/manga/poster_images/22555/large.jpg?1501044002,96,11,78.19,"Two prisoners managed to escape after the police truck carrying them crashed on the highway. One of them, Imamura Shouhei is a gangster who has sent 10 opposite bosses to hospital. The other called Yazwa Yuu—our protagonist—is a con artist whose cheating profile has piled up to approximately 100 billion yen. Accidentally, Yuu then becomes the new teacher for the nearby junior high school, under the new name Hachisuka Gorou, and according to a deal of ""Hammer Session"" with the headmaster.

(Source: MU)","['comedy', 'school', 'action', 'ecchi']"
Koori Zokusei Danshi to Cool na Douryo Joshi,Ongoing,https://media.kitsu.io/manga/poster_images/55151/large.jpg?1568826850,,,78.18,"A cute fluffy romance about a cool female worker and a (literally) freezing-cold colleague.
",['none']
Hana no Miyako de,Finished,https://media.kitsu.io/manga/poster_images/24306/large.jpg?1529446716,5,1,78.18,"1-3. Hana no Miyako de
The successor of the Tsujimura clinic, Motoharu has always held his childhood friend, Hazumi Akira, close to his heart. He confessed to Akira and then was rejected. Even so, he still entered the same university and same department as Akira. Ever since the confession, the two have been distancing each other, but Akira suggested that they make up and for the first time in a while, they walk home together. But on the way back, Akira suddenly kisses Motoharu, causing Motoharu's hope to grow. However, the next day, Akira tells him to ""forget it"", causing Motoharu to blame Akira... (Source: MU)

4-5. Hana no Migoro ni
Arikawa and Misaki are living together since some time and Arikawa's mother wants to meet Misaki. And there's also Arikawa's elder sister...","['historical', 'yaoi', 'drama', 'romance']"
Fantasy Bishoujo Juniku Ojisan to,Ongoing,https://media.kitsu.io/manga/poster_images/56392/large.jpg?1589797102,,,78.18,"A dull old man and his handsome best friend were summoned to another world by a naked goddess! However, because of the goddess's mischief, he has turned into a peerless beautiful girl?! To get back his body, he has to go on a journey with his best friend to defeat the demon king!! ""An old man that became a beautiful girl"" and ""A handsome old man""! Let the madness filled another world journey rom-com begin!!

(Source MU)",['none']
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Ongoing,https://media.kitsu.io/manga/poster_images/26573/large.jpg?1476566151,,,78.17,"A side story of Dungeon ni Deai o Motomeru no wa Machigatte Iru Darou ka. It covers the story of the strongest 1st class adventurer ""Sword Princess"" Ais Wallenstein and her desire to reach even greater heights with her friends in the Loki Familia.

(Source: MU)","['fantasy', 'action', 'adventure']"
Harumatsu Bokura,Ongoing,https://media.kitsu.io/manga/poster_images/26358/large.jpg?1597699464,,,78.17,"Mizuki who cannot readily open the heart to a person is going to turn over a new leaf from the high school to change oneself such. But after all I do not get along well... It is good-looking group of 4 that the rumor how at school to have met in such a case! Gradually knowing their true figure at the start though you were cautious...? Good-looking men and insane youth to send!

(Source: Summer Rain)","['school', 'romance']"
Suki tte Ii na yo.,Finished,https://media.kitsu.io/manga/poster_images/21871/large.jpg?1529340258,73,18,78.17,"Mei Tachibana has no friends—and she doesn't need them! Ever since her ""friends"" betrayed her in elementary school, she's sworn off friendship entirely. All it leads to is betrayal and heartbreak, and she's well enough on her own. But everything changes when she accidentally roundhouse kicks the most popular boy in school! However, Yamato Kurosawa isn't angry in the slightest. In fact, he thinks his ordinary life could use an unusual girl like Mei! He won't take no for an answer, and soon Mei and Yamato embark on an unwanted friendship that will change both of them forever.

(Source: Kodansha Comics)","['school', 'romance']"
Detroit Metal City,Finished,https://media.kitsu.io/manga/poster_images/3678/large.jpg?1434257223,113,10,78.17,"Souichi Negishi is a common boy, timid, quiet. He loves flowers, walking and musical hits like the ones that radios play. But he is also Krauzer II, leader of Detroy Metal City (DMC), the most popular underground metal band of Japan! Souichi would like to change his life and start to play Swedish pop songs with peaceful and loving lyrics instead of the violent and vulgar ones of DMC, but when he is playing with his band he completely changes his attitude and behavior...","['comedy', 'thriller', 'music']"
My Heart Is Beating,Finished,https://media.kitsu.io/manga/poster_images/13005/large.jpg?1434277855,30,3,78.17,"17 year old exemplary student Bae Sugu lives alone with his father, the vice principal of his school. Weighed down by his father's expectations, Sugu has to hide his one true passion: swimsuits. He does not know where it comes from, but his passion is pure and genuine - and often misunderstood. But one day, when Sugu is secretly taking pictures of swimsuits by the pool, he is caught by his homeroom teacher who forces him into something ridiculous. Can Sugu find something to get out of the standstill his life has come to? Can his heart beat again?
(Source: Noctis Op.92)","['comedy', 'sports', 'psychological', 'thriller', 'school', 'gender-bender', 'slice-of-life', 'drama', 'romance']"
Kin no Hitsuji,Ongoing,https://media.kitsu.io/manga/poster_images/53056/large.jpg?1533498739,,,78.16,"Tsugu-chan is separated from her friends (Sora, Yuushin and Asari) when she moves away. After a few years, she finally returns and is happy to be reunited with them. Tsugu-chan believes that her friends didn't change, but that doesn't turn out to be the case.

",['slice-of-life']
My ID is Gangnam Beauty,Ongoing,https://media.kitsu.io/manga/poster_images/39760/large.jpg?1499991817,,,78.16,"The ugly girl who was able to be reborn as a beauty, Kang Mirae!

But... I feel like I've seen you somewhere?",['none']
Shin Angyo Onshi Gaiden,Finished,https://media.kitsu.io/manga/poster_images/15047/large.jpg?1434282454,4,1,78.16,A series of short stories portraying the past of some characters from Shin Angyo Onshi...,"['comedy', 'thriller', 'historical', 'fantasy', 'drama', 'action', 'adventure']"
Bonnouji,Finished,https://media.kitsu.io/manga/poster_images/21865/large.jpg?1476914824,36,3,78.16,"Fate brings two people who live in the same condo together on a typical afternoon. Ozawa (26) has just broken up with her boyfriend of five years and was in the process of trying to rebuild her life when she meets Oyamada who lives a couple floors below her. He is somewhat of a loner although he does have a few friends and his room is cluttered with all the random stuff that his impulse shopper brother sends him. Ozawa takes an interest with all the things in his room and the two start a friendship that slowly turns into something more.

(Source: MangaHelpers)","['comedy', 'slice-of-life', 'drama', 'romance']"
Lady Beast,tba,https://media.kitsu.io/manga/poster_images/54556/large.jpg?1557343604,,,78.14,"The only goal in life for Elise, the princess of the Kingdom of Grandia, is to survive. She was married to the Duke Jin Jo, the madman of Landel. I expected to get love, but he did not even pay attention to her. 

Then one day, the curse began. ""It's going to be really crazy because of the moon,"" Jin Jo said. ""I am also in trouble because of 'it' that happens every morning."" 
The curse switched my husband's body and mine! Can we break the curse and switch back?

(Source:MU)",['none']
Birdmen,Finished,https://media.kitsu.io/manga/poster_images/14421/large.jpg?1434281036,80,16,78.14,"Eishi Karasuma is a loner with a monotone life and his only friend is Mikisada Kamoda. One day they venture together while skipping class and they meet Tsubame, a very energetic girl, and Rei Sagisawa, a pretty boy that attends the same middle school. On their way back to school a sudden event happens. A mysterious boy with wings will come to help.

(Source: MU)","['supernatural', 'super-power', 'action']"
Kyuuso wa Cheese no Yume wo Miru,Finished,https://media.kitsu.io/manga/poster_images/5648/large.jpg?1434261473,6,1,78.14,"Kyouichi's indecisive character has led him to repeatedly commit the foolish mistake of adultery. One day, Imagase, a college classmate he hasn't seen since graduation, shows up as the private detective hired by his wife to investigate his infidelity. Imagase, however, proposes a deal. He won't tell Kyouichi's wife about his affairs, but, for compensation, he makes an unbelievable demand: ""I want your body in exchange...""
(Source: Manga Updates)","['yaoi', 'drama']"
Monochrome Factor,Finished,https://media.kitsu.io/manga/poster_images/1033/large.jpg?1434251518,65,11,78.14,"Akira Nikaido is a typical slacker high school student who thinks he has a normal life--until a mysterious man called Shirogane appears and tells him to meet him at the school that night. He is skeptical but goes anyway...and gets attacked by a shadow monster! Shirogane convinces him that the balance between the human world and the shadow world has been distorted, and that Akira must become a shin--a creature of the shadow world--in order to help restore the balance.
(Source: Tokyopop)","['supernatural', 'action']"
Kono Atatakai Hizashi no Naka de,Finished,https://media.kitsu.io/manga/poster_images/27170/large.jpg?1434308714,7,2,78.14,"Kamiyoshi Hina is a new transfer student. She was looking forward to spending her school days with peace and ease. Unfortunately, that thought flew out the window when she was appointed class representative and seated next to the school's infamous delinquent, Mikuni Satoshi. According to rumors, Mikuni Satoshi gets into fights and spends the nights working as a gigolo. Are there any truths to the rumors? What will happen when the two meet? Is there more to Kamiyoshi Hina's cheerful demeanor and Mikuni Satoshi's delinquent behavior? Read to find out!

(Source: MU)","['school', 'romance']"
Sono Yubi dake ga Shitteiru,Finished,https://media.kitsu.io/manga/poster_images/1941/large.jpg?1434253503,4,1,78.14,"At Wataru Fujii's high school, it's all the rage to wear paired rings with the girl you love. Wataru wears one though he is single, and one day inadvertently discovers that his ring pairs up with that of tall, handsome, and smart Yuichi Kazuki, the senior classman idolized by the entire school. Though Kazuki has a reputation for being kind to all, when dealing with Wataru, he is strangely harsh. Their paired rings somehow draw them together and the two alternately clash and attract, as they must sort out their budding feelings for each other.","['school', 'shounen-ai', 'drama', 'romance']"
Hoankan Evans no Uso: Dead or Love,Ongoing,https://media.kitsu.io/manga/poster_images/39195/large.jpg?1526486753,,,78.13,"The story follows lawman Elmore Evans, who despite being one of the most amazing gunslingers in the West can't get rid of his bad luck in his romantic life.","['comedy', 'historical', 'romance', 'action']"
Transparent Cohabitation,Finished,https://media.kitsu.io/manga/poster_images/52488/large.jpg?1533498428,47,3,78.13,"The risky cohabitation between a ghost and a human that seems touchable, but isn't.

Transparent Cohabitation was digitally published in English as My Boo by LINE Webtoon from October 1 to December 5, 2017.","['supernatural', 'psychological', 'drama', 'romance']"
Subete no Jinrui wo Hakai suru. Sorera wa Saisei Dekinai.,Ongoing,https://media.kitsu.io/manga/poster_images/55090/large.jpg?1567539514,,,78.13,"It centers around second year students during the 1990s; our protagonist Hajime, a narcissistic genius and his rival Sawatari, a beautiful girl who is another genius who beats Hajime in every single one of their exams. Unbeknownst to him, she also plays Magic the Gathering, a trading card game that had taken Hajime and his friends by storm. This opens an opportunity that Hajime can finally be greater than Sawatari in a game of intelligence. However, it is not the only opportunity that arises from this coincidence.


",['none']
Appetite,Finished,https://media.kitsu.io/manga/poster_images/53967/large.jpg?1534600352,100,,78.12,"Dohoon can’t find a reason to live. He hoped to get a fresh start at his new high school, but things are no different—the bullies make fun of his limp and no one wants to be his friend. Then one night, he discovers a secret about a classmate, Aji, and the two make a deal: in exchange for protection from school bullies and other evils, Dohoon promises Aji what might just be the most delicious meal of her life.

(Source: Lezhin)",['none']
Baki-dou,Finished,https://media.kitsu.io/manga/poster_images/25743/large.jpg?1434305572,198,0,78.12,"Baki is bored. After the conclusion of the epic battle between father and son, he continues to fight in the underground arena and train nonstop, but he always has to suppress his yawn caused by the overbearing boredom. No amount of stimulus or danger can bring excitement to him at this point.

Now, with the inclusion of the Prime Minister of Japan in the loop, a massive cloning project is attempting to clone Miyamoto Musashi, one of the fathers of martial arts in Japan. Another fight of historical proportions awaits Baki!

(Source: MangaHelpers)","['martial-arts', 'action']"
Regarding Death,Finished,https://media.kitsu.io/manga/poster_images/7582/large.jpg?1496626742,27,2,78.12,"Series of stories where ""god"" talks to the people who are on the verge of life and death.","['supernatural', 'psychological', 'slice-of-life']"
Ragna Crimson,Ongoing,https://media.kitsu.io/manga/poster_images/39656/large.jpg?1508579978,,,78.12,"Ragna is a dragon hunter along with his partner, the strongest dragon hunter Leo. He didn't have much talent at hunting dragons but he had decided to entrust his whole life for her. However he was shown the feel of true despair by his future self on what would happen if he stays weak as he is now. With that, it seems that the reaper of the dragons had now appeared earlier than the original history, but will it be enough to change future?

(Source: MU)",['fantasy']
Ciel,Finished,https://media.kitsu.io/manga/poster_images/9016/large.jpg?1434268894,,23,78.11,"With the author's characteristic humour and creativity, the work describes one girl’s fantasy adventure. Yvienne Magnolia's beauty widens the small villagers' eyes she is living but she never knew what her future would be, since it is destined too high to imagine for her at that time... 
As the lord of the manor tries to kidnap her, Yvienne flees to Lowood Institution for wizardry and witchcraft she never thought to go leaving behind her family. 
In the school, she meets interesting people, like, January Lightsphere who shines purple aura compared to his noble but peculiar family, and Lariatte, an orthodox fighter family's heir, who will be her closest mate. 
(Source: MU)","['fantasy', 'shoujo-ai', 'romance', 'adventure']"
Tamayura,Finished,https://media.kitsu.io/manga/poster_images/31614/large.jpg?1434318286,5,1,78.11,,['yaoi']
Bokura no Hentai,Finished,https://media.kitsu.io/manga/poster_images/21862/large.jpg?1434297360,41,10,78.1,"Three boys in junior-high who cross-dress because of differing reasons meet each other through a cross-dressing community website, and decide to meet up in real life. ""Parou"" started cross-dressing because he wanted to attract a heterosexual boy he liked. ""Marika"" is transgendered and identifies as female. Lastly, ""Yui"" is an antagonistic boy who adopted the persona of his older sister after her death. In contrast to Parou and Marika, Yui is sorely disappointed at the meeting.
(Source: MU)","['psychological', 'shounen-ai', 'gender-bender', 'drama']"
Summertime Render,Finished,https://media.kitsu.io/manga/poster_images/40289/large.jpg?1597699368,139,13,78.1,"Upon hearing of Ushio's death, Shinpei returns to his hometown of Wakayama City on Hitogashima and reunites with his childhood friend's family. The funeral goes smoothly, but under the surface something strange is brewing on the island. What mysteries await him on this secluded summer island?

(Source: Manga Plus)",['none']
Salad Days,Finished,https://media.kitsu.io/manga/poster_images/3991/large.jpg?1434257893,165,18,78.1,"Love is something that is fresh...like salads. Days when people experience love are days that will never be forgotten... These precious memories are ""salad days"".
Salad Days is a collection of one-shots about people and their first love, or finding new love.
(Source: MU)","['sports', 'school', 'slice-of-life', 'drama', 'romance']"
Hana to Hina wa Houkago,Finished,https://media.kitsu.io/manga/poster_images/35492/large.jpg?1515298690,19,3,78.09,"Hana and Hina are two high school girls working at the same character goods shop, but they are completely different from one another. Hana is petite, uncertain and shy, while Hina is tall, confident, and trendy. Yet they share a secret: their school has a strict policy against taking part-time jobs. They also discover that both of them share an irresistible attraction to things that are cute, be it the uniforms at their all-girls' school or... each other! Just how long will Hana and Hina be able to keep their after school jobs, and their feelings for each other, a secret?

(Source: Seven Seas Entertainment)","['comedy', 'shoujo-ai']"
Feng Shen Ji III,Finished,https://media.kitsu.io/manga/poster_images/24322/large.jpg?1434302540,80,0,78.09,The sequel and the continuation of Feng Shen Ji II.,"['supernatural', 'martial-arts', 'historical', 'fantasy', 'action']"
Ao Haru Ride: Awaken,Finished,https://media.kitsu.io/manga/poster_images/26254/large.jpg?1434306696,1,0,78.08,"Kou's own retelling of the events in the prologue chapter, unwritten.","['school', 'slice-of-life', 'drama', 'romance']"
IS: Otoko demo Onna demo Nai Sei,Finished,https://media.kitsu.io/manga/poster_images/8796/large.jpg?1434268399,79,17,78.08,"From JanimeS:
I.S. (Pronounced Aiesu in Japanese) is not your everyday manga. This manga strictly deals with cases of intersexuality. I.S. stands for Inter Sexuality. 
This manga deals with very serious issues with intersexuality people. The pain they go through, the troubles they confront, and ultimately their inability to reproduce and even find a partner who will accept them as they are - It's all there in a form of manga. 
The series is consisted with cases, each deals with different people though some cases are much longer and more dramatic than others.","['gender-bender', 'drama', 'romance', 'cars']"
Gunnm: Kasei Senki,Ongoing,https://media.kitsu.io/manga/poster_images/27006/large.jpg?1434308325,,,78.08,"As Alita begins to piece together fragments of her past, she travels to Mars in order to discover her roots and seek the truth about her Kunstler training.","['sci-fi', 'action']"
Ookami Shoujo to Kuro Ouji,Finished,https://media.kitsu.io/manga/poster_images/22509/large.jpg?1434298693,67,16,78.07,"Erika lies to her friends about having a boyfriend by showing a picture of an anonymous guy. He turns out to be Sata Kyouya, a schoolmate of hers who was later briefly recognized by Erika's friends. Their conversations then are overheard by the guy, so Erika explain to him and proposes her idea of faking as lovers; however, Sata, who initially came off as a charming guy, turns out to be a black prince and instead uses her reasons to blackmail her.

(Source: Anime-tion, edited)

Included one-shots:
Volume 2: Junketsu Lullaby
Volume 3: Pierrot ja Nee yo
Volume 8: Kamatte-chan de Gomenasai!!
Volume 11: Kimi wo Suki ni Natta Riyuu (The Reason I Love You)","['comedy', 'school', 'romance']"
1 Litre no Namida,Finished,https://media.kitsu.io/manga/poster_images/5133/large.jpg?1434260363,4,1,78.07,"The manga is based on a dramatic tragedy diary written by Aya Kito, published shortly before her death. The diary, a true story based on her own life, was originally written in first person. It is about a girl coping with her teenage life along with a degenerative disease. She keeps a diary of not only what she does but how she feels and the hardships she must endure. Initially, the diary's purpose was for Kito to chronicle impressions she had about how the disease was affecting her daily life. As the disease progressed, however, the diary became Kito's outlet for describing the intense personal struggles she underwent in coping, adapting, and ultimately trying to survive her disease. As she notes in one entry, ""I write because writing is evidence that I am still alive."" 
(Source: Wikipedia)",['drama']
I'm Stanning the Prince,Ongoing,https://media.kitsu.io/manga/poster_images/56051/large.jpg?1584184339,,,78.07,"Angela's fanfic became such a sensation that it even reached the Imperial Family, leading her to get arrested on charges of treason.

Nevertheless, her fanfic improved the First Prince's image, and his sister, the Princess, decides to take political advantage of this and keep Angela by their side.

The heroine who can now fangirl to her heart's content, and the Prince who doesn't know how to act around her. As they bicker back and forth, they start growing closer...

(Source: MU)",['none']
Trinity Seven: 7-nin no Mashotsukai Comic Anthology,Ongoing,https://media.kitsu.io/manga/poster_images/37952/large.jpg?1469024700,,0,78.06,An anthology of Trinity Seven: 7-nin no Mahoutsukai by various mangaka.,"['comedy', 'supernatural', 'school', 'harem', 'fantasy', 'ecchi']"
Gerard & Jacques,Ongoing,https://media.kitsu.io/manga/poster_images/2162/large.jpg?1434253951,12,2,78.05,"Just before the start of the French Revolution, a commoner named Gerard pays a visit to a high-class brothel, where he sleeps with, and then buys the freedom of Jacques, a young noble sold into prostitution.  Jacques looks down on commoners and Gerard has his reasons for hating the nobility, but they’re thrown together once again when Jacques ends up being hired as Gerard’s new houseboy.  Jacques’ determination to make his own way in the world, and Gerard’s surprising, quirky shows of kindness slowly bring the two together into a romance for the ages! (Source: Blu Manga)","['comedy', 'historical', 'yaoi', 'drama', 'romance']"
Complex,Finished,https://media.kitsu.io/manga/poster_images/15729/large.jpg?1434283909,24,4,78.05,"This is a story of boy meets boy—and everything after that. 
Complex is about the lives of Junichi and Tatsuya, two childhood friends who just so happen to love each other. We explore each step of their lives, from grade school to the golden years, through the good times and the bad, revealing that a relationship between two men are nothing but complex. 
(Source: Alipio)",['yaoi']
The Duchess with an Empty Soul,Ongoing,https://media.kitsu.io/manga/poster_images/55660/large.jpg?1574608061,,,78.04,"I died miserably, on the day I found out the truth. The truth, that my fiance had a hidden lover and it was my very own cousin.

On the second morning, after my 20th birthday, a miracle happened. From that point on, I decided not to believe in love anymore.

I want to have a relationship with no strings attached and without any superficial feelings such as love.

""Duchess Agentine, will you marry me?""

This proposal was nothing more than a marriage to keep up appearances and without love involved.

(Source: MU)",['none']
Q.E.D.: Shoumei Shuuryou,Finished,https://media.kitsu.io/manga/poster_images/6806/large.jpg?1434264039,99,50,78.04,"Q.E.D. ~Shomei Shuryo~ (normally referred to simply as Q.E.D.) is a mystery manga by Motohiro Katou in the same style as Detective Conan and Kindaichi Case Files. Unlike those two, however, the main character Sou Touma does not stumble onto murders with absurd regularity. Instead, he encounters a variety of crimes ranging from murder to fraud. Also unlike his contemporaries (who either work alone or whose partners provide minimal assistance), he often works in tandem with his friend and potential love interest Kana, with him supplying the brain while she acts as brawn.

(Source: Wikipedia)","['mystery', 'sports']"
Ase to Sekken,Ongoing,https://media.kitsu.io/manga/poster_images/54297/large.jpg?1548525934,,,78.04,"Yaeshima Maasako is an office lady who has a complex about her excessive sweating and works at Lilia Drop, a company that manufactures makeup and bath products that are tremendously popular with women. While sparing no expenses with deodorant in her daily routine, one day Natori Koutarou of the commodity development department tells her, ""Your body odor is wonderful! To develop new soap, I'll be coming to smell you everyday from now on!"" Even so, she was not so opposed to the idea of being smelled...

(Source: Mangadex)",['none']
Bambi to Dhole,Finished,https://media.kitsu.io/manga/poster_images/13407/large.jpg?1434278764,21,0,78.03,"Yukimi is her real name but everyone calls her Bambi. She is the student discipline committee member who locks students out of the school if they're a minute late but herself sneaks cigarette breaks on the roof. Lone wolf (Dhole, Asiatic wild dog) transfer student Tetsu (everyone pronounces it Tooru) Nagasawa who hops the fence after she locks it and breaks her cigarette in half when he finds her on the roof, yet he is a super nice guy to a mother and baby on the train. Bambi already has a boyfriend but will the wolf steal her heart?","['school', 'shoujo-ai', 'romance']"
Himegimi to Sanbiki no Kemono,Finished,https://media.kitsu.io/manga/poster_images/4612/large.jpg?1434259240,12,4,78.03,"The royal palace of the kingdom of Alba Forest received one letter of advance notice. That is, ""We shall take the last treasure left behind by the late king to his beloved daughter, Violet."" The sender of that letter was a group of robbers called the ""Three Beasts."" When Violet meets one of them by chance, the crow, her life changes greatly...! 
(Source: Starry Heaven)","['fantasy', 'shoujo-ai']"
Beelzebub Bangaihen,Finished,https://media.kitsu.io/manga/poster_images/25315/large.jpg?1434304654,6,1,78.03,A side story to the main series Beelzebub.,"['comedy', 'demons']"
Otome Game Sekai wa Mob ni Kibishii Sekai Desu,Ongoing,https://media.kitsu.io/manga/poster_images/54705/large.jpg?1559160312,,,78.02,"Leon, a former Japanese worker, was reincarnated into an “otome game” world, and despaired at how it was a world where females hold dominance over males. It was as if men were just livestock that served as stepping stones for females in this world. The only exceptions were the game’s romantic targets, a group of handsome men led by the crown prince.

In these bizarre circumstances, Leon held one weapon: his knowledge from his previous world, where his brazen sister had forced him to complete this game. Leon, who really just wants to to live as a shut-in in the countryside, uses that knowledge to raise a ferocious revolt against the women and handsome men.

(Source: MU)",['none']
Terror Man,Finished,https://media.kitsu.io/manga/poster_images/38938/large.jpg?1597842049,210,,78.02,"Min Jung Woo has a special ability, one that lets him see whenever a path leads to an unfortunate future. Min Jung Woo uses his eyes of ""Misfortune"" to spot unfortunate events and tries to stop them, leading him to become a terrorist feared by the people.

(Source: MU)","['psychological', 'action']"
Saenai Heroine no Sodatekata: Koisuru Metronome,Finished,https://media.kitsu.io/manga/poster_images/26175/large.jpg?1434306526,51,10,78.02,"Spin-off of SaeKano light novel series focusing on the unlikely relationship between famed author Kasumigaoka Utaha and average otaku Aki Tomoya.

Down in a rut and out of lacking creativity, infatuation develops after a fan-signing for 'Love Metronome' and Aki becomes the estranged ""assistant"" of one of his school's top idols.

[Written by fourberie]","['comedy', 'drama', 'romance']"
I Stole the Male Lead's First Night,Ongoing,https://media.kitsu.io/manga/poster_images/57839/large.jpg?1603483587,,,78.02,"Due to a mistake one night, I became the target of the most obsessive man and a villainess!After possessing Ripley, a count’s daughter and an extra in a novel, I became the female lead. Since this is the case, I will try to enjoy the riches and luxuries of a nobleman that I couldn’t experience in my past life.I can remember up to drinking alone in a corner at a party… but I woke up the next day in the male lead’s bed!Ripley became the target of the villainess after the male lead’s remarks that she should be responsible for spending their first night together. Knowing the fate of the female lead, Ripley tries to get rid of the male lead by causing trouble, not washing, and all sorts of things. Nevertheless, the male lead’s unwavering single-minded heart begins to shake.(Source: MU)",['none']
Meru Meru Mail,Finished,https://media.kitsu.io/manga/poster_images/17700/large.jpg?1434288288,5,1,78.01,"Meiru Inamori is a mailing obsessed 16-year-old whom attends an all girls high school. One day she finds out that all of her friends have boyfriends, and finds herself wanting one as well; the only thing is that Meiru freezes up whenever a guy comes close to her. Will there ever be a guy able to free Meiru from her boy phobia?
(Source: Intercross)","['comedy', 'school', 'shoujo-ai', 'romance']"
Tenki no Ko,Finished,https://media.kitsu.io/manga/poster_images/55885/large.jpg?1580916002,13,3,78.01,"The summer of freshman year of high school. A boy named Hodaka runs away from his island home and goes to Tokyo, where he spends every day in loneliness. Then, in a corner of the bustling city, he meets a girl named Hina. But he soon finds out that she possesses a mysterious power.

(Source: Vertical Inc.)",['none']
Yankee-kun to Hakujou Gaaru,Ongoing,https://media.kitsu.io/manga/poster_images/54966/large.jpg?1565263838,,,78.01,"An infamous yankee, Kurokawa Morio meets a partially blind girl, Akaza Yukiko.

(Source: MU)",['none']
Mystic Messenger,Finished,https://media.kitsu.io/manga/poster_images/56536/large.jpg?1592427602,40,,78,"...Can you see these messages?

While trying to find the owner of a lost phone, an ambiguous ""Unknown"" starts texting you! As soon as you enter the studio he mentioned, you see a bunch of hotties?!

(Source: Official Publisher, translated)",['none']
Shiki no Zenjitsu,Finished,https://media.kitsu.io/manga/poster_images/24426/large.jpg?1434302751,7,1,78,"Collection of short stories:
1) Shiki no Zenjitsu
2) Azusa Nigou de Saikai
3) Monochrome no Kyoudai (Monochrome Brothers)
4-5) Yume Miru Kakashi
6) Juugatsu no Hakoniwa
7) Sorekara","['slice-of-life', 'drama', 'romance']"
High☆Speed!,Finished,https://media.kitsu.io/manga/poster_images/15003/large.jpg?1388495215,21,2,77.99,A prequel to the 2013 Kyoto Animation series Free!.,"['comedy', 'sports', 'school', 'drama']"
