title,status,image,chCount,vCount,rating,userCount,synopsis,genre
,,,,,,,,
JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable,finished,https://media.kitsu.io/manga/poster_images/6413/large.jpg?1618905189,174,18,82.66,6439,"The coastal town of Morioh is plagued by the ""Bow and Arrow,"" an ancient artifact which manifests latent stand abilities in criminals and ordinary folk alike. At the same time as they are dealing with the huge influx of stand users—both good and bad—in Morioh, high schooler Jousuke Higashikata and his friends are searching for the culprit of a series of homicides. 

(Source: Kokko)","['supernatural', 'sports', 'action', 'adventure']"
,,,,,,,,
Gintama,finished,https://media.kitsu.io/manga/poster_images/116/large.jpg?1441231832,704,77,82.66,6748,"The samurai didn't stand a chance. First, the aliens invaded Japan. Next, they took all the jobs. And then they confiscated everyone's swords. So what does a hotheaded former samurai like Sakata ""Gin"" Gintoki do to make ends meet? Take any odd job that comes his way, even if it means losing his dignity.

(Source: VIZ Media)

Included one-shots:
Volume 1: Dandelion
Volume 2: Shirokuro
Volume 24: 13
Volume 38: Bankara-san ga Tooru","['comedy', 'sci-fi', 'sports', 'samurai', 'parody', 'action']"
,,,,,,,,
Hataraku Maou-sama!,ongoing,https://media.kitsu.io/manga/poster_images/14965/large.jpg?1501647945,,0,82.66,6180,"Devil King Sadao is only one step away from conquering the world when he is beaten by Hero Emilia and forced to drift to the other world: modern-day Tokyo.  As ""conquering the world"" are the only skills the Devil King possesses - and are obviously unnecessary in his new situation - he must work as a freeter to pay for his living expenses!","['comedy', 'supernatural', 'sports', 'demons', 'fantasy', 'romance', 'workplace']"
,,,,,,,,
JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable,finished,https://media.kitsu.io/manga/poster_images/6413/large.jpg?1618905189,174,18,82.66,6439,"The coastal town of Morioh is plagued by the ""Bow and Arrow,"" an ancient artifact which manifests latent stand abilities in criminals and ordinary folk alike. At the same time as they are dealing with the huge influx of stand users—both good and bad—in Morioh, high schooler Jousuke Higashikata and his friends are searching for the culprit of a series of homicides. 

(Source: Kokko)","['supernatural', 'sports', 'action', 'adventure']"
,,,,,,,,
Bungou Stray Dogs,ongoing,https://media.kitsu.io/manga/poster_images/16084/large.jpg?1476660153,,0,82.66,5059,"Nakajima Atsushi was kicked out of his orphanage, and now he has no place to go and no food. While he is standing by a river, on the brink of starvation, he rescues a man whimsically attempting suicide. That man is Dazai Osamu, and he and his partner Kunikida are members of a very special detective agency. They have supernatural powers, and deal with cases that are too dangerous for the police or the military. They're tracking down a tiger that has appeared in the area recently, around the time Atsushi came to the area. The tiger seems to have a connection to Atsushi, and by the time the case is solved, it is clear that Atsushi's future will involve much more of Dazai and the rest of the detectives!

(Source: MangaHelpers)","['mystery', 'supernatural', 'sports', 'drama', 'action']"
,,,,,,,,
Monster,finished,https://media.kitsu.io/manga/poster_images/4/large.jpg?1434249406,162,18,82.66,8659,"Dr. Kenzo Tenma is a renowned young brain surgeon of Japanese descent working in Europe. Highly lauded by his peers as one of the great young minds that will revolutionize the field, he is blessed with a beautiful fiancé and is on the cusp of a high promotion in the hospital he works at. However, all of that is about to change with one critical decision that Dr. Tenma faces one night – whether to save the life of a young child or that of the town's mayor. Despite being pressured by his superiors to perform surgery on the mayor, his morals force him to perform the surgery on the young child, saving his life and forfeiting the mayor’s. All of a sudden, Dr. Tenma’s world is turned upside down by his decision leading to the loss of everything he previously had. A doctor is taught to believe that all life is equal; however, when a series of murders occur in the vicinity of Dr. Tenma, all of the evidence pointing to the young child who he saved, Tenma’s beliefs are shaken.
Naoki Urasawa’s Monster is a tale full of mystery, suspense and intrigue as Dr. Tenma journeys to find out the true identity of the young child. In turn, the fate of the world may depend on it.

(Source: MAL Rewrite)","['mystery', 'psychological', 'thriller', 'drama']"
,,,,,,,,
Keishichou Tokuhanka 007,finished,https://media.kitsu.io/manga/poster_images/21987/large.jpg?1434297617,43,11,82.66,949,"The “Special crime investigation department 007″ includes the most capable and extraordinary investigators and Fuyuki, who also becomes one of its members, is very capable, to. And she is paired with Kuze, a cool and very bishonen detective. Their combination proves to be the most dangerous one the police headquarters had ever seen!","['supernatural', 'police']"
,,,,,,,,
Hataraku Maou-sama!,ongoing,https://media.kitsu.io/manga/poster_images/14965/large.jpg?1501647945,,0,82.66,6180,"Devil King Sadao is only one step away from conquering the world when he is beaten by Hero Emilia and forced to drift to the other world: modern-day Tokyo.  As ""conquering the world"" are the only skills the Devil King possesses - and are obviously unnecessary in his new situation - he must work as a freeter to pay for his living expenses!","['comedy', 'supernatural', 'sports', 'demons', 'fantasy', 'romance', 'workplace']"
,,,,,,,,
Gintama,finished,https://media.kitsu.io/manga/poster_images/116/large.jpg?1441231832,704,77,82.66,6748,"The samurai didn't stand a chance. First, the aliens invaded Japan. Next, they took all the jobs. And then they confiscated everyone's swords. So what does a hotheaded former samurai like Sakata ""Gin"" Gintoki do to make ends meet? Take any odd job that comes his way, even if it means losing his dignity.

(Source: VIZ Media)

Included one-shots:
Volume 1: Dandelion
Volume 2: Shirokuro
Volume 24: 13
Volume 38: Bankara-san ga Tooru","['comedy', 'sci-fi', 'sports', 'samurai', 'parody', 'action']"
,,,,,,,,
Kingdom,ongoing,https://media.kitsu.io/manga/poster_images/3480/large.jpg?1472037695,,0,82.65,5816,"Millions of years have passed since the times of legends, when the worlds of man and gods were still the same. In these times it was the desires of man that moved the world. It is the period of the 500 year war: the Era of Warring States. Kingdom is the story of a young boy who grew into a great general and all the trials and bloodshed that led him there.

(Source: Exertus Scans)","['thriller', 'historical', 'military', 'drama', 'action']"
,,,,,,,,
Kingdom,ongoing,https://media.kitsu.io/manga/poster_images/3480/large.jpg?1472037695,,0,82.65,5816,"Millions of years have passed since the times of legends, when the worlds of man and gods were still the same. In these times it was the desires of man that moved the world. It is the period of the 500 year war: the Era of Warring States. Kingdom is the story of a young boy who grew into a great general and all the trials and bloodshed that led him there.

(Source: Exertus Scans)","['thriller', 'historical', 'military', 'drama', 'action']"
,,,,,,,,
Fairy Tail Gaiden: Road Knight,finished,https://media.kitsu.io/manga/poster_images/36595/large.jpg?1447376689,18,1,82.65,9927,Spin-off of Fairy Tail following Gajeel.,"['magic', 'fantasy', 'action']"
,,,,,,,,
Sotsugyousei,finished,https://media.kitsu.io/manga/poster_images/5952/large.jpg?1604113491,16,2,82.65,2025,"Though Rihito’s always been a loner, lately he’s grown close to his classmate, Hikaru. The two of them have even fallen in love and tentatively started dating. But when Rihito’s mother ends up in the hospital, the stress of it all becomes too much for him. Hikaru wants to be there for Rihito, but can Rihito learn to open his heart and rely on another person? (Source: Seven Seas)","['yaoi', 'slice-of-life', 'drama']"
,,,,,,,,
Sotsugyousei,finished,https://media.kitsu.io/manga/poster_images/5952/large.jpg?1604113491,16,2,82.65,2025,"Though Rihito’s always been a loner, lately he’s grown close to his classmate, Hikaru. The two of them have even fallen in love and tentatively started dating. But when Rihito’s mother ends up in the hospital, the stress of it all becomes too much for him. Hikaru wants to be there for Rihito, but can Rihito learn to open his heart and rely on another person? (Source: Seven Seas)","['yaoi', 'slice-of-life', 'drama']"
,,,,,,,,
Kingdom,ongoing,https://media.kitsu.io/manga/poster_images/3480/large.jpg?1472037695,,0,82.65,5816,"Millions of years have passed since the times of legends, when the worlds of man and gods were still the same. In these times it was the desires of man that moved the world. It is the period of the 500 year war: the Era of Warring States. Kingdom is the story of a young boy who grew into a great general and all the trials and bloodshed that led him there.

(Source: Exertus Scans)","['thriller', 'historical', 'military', 'drama', 'action']"
,,,,,,,,
Kimi ni Todoke,finished,https://media.kitsu.io/manga/poster_images/7375/large.jpg?1561897522,125,30,82.65,9269,"Kuronuma Sawako is completely misunderstood by her classmates. Her timid and sweet demeanor is often mistaken for malicious behavior. This is due to her resemblance to the ghost girl from ""The Ring"", which has led her peers to give her the nickname Sadako. Longing to make friends and live a normal life, she is naturally drawn to Kazehaya Shouta, the most popular guy in class, whose ""100% refreshing"" personality earns him great admiration from Sawako. So when Kazehaya starts talking to her, maybe there is hope for the friendships Sawako has always longed for. Maybe...there is even a little hope for some romance in her future.

(Source: MAL)","['school', 'slice-of-life', 'romance']"
,,,,,,,,
Fairy Tail Gaiden: Road Knight,finished,https://media.kitsu.io/manga/poster_images/36595/large.jpg?1447376689,18,1,82.65,9927,Spin-off of Fairy Tail following Gajeel.,"['magic', 'fantasy', 'action']"
,,,,,,,,
Tonari no Kaibutsu-kun,finished,https://media.kitsu.io/manga/poster_images/24407/large.jpg?1439398331,55,13,82.64,11970,"Mizutani Shizuku is the type of person who only cares for her own grades. But when she accidentally delivers lesson notes to Yoshida Haru, he becomes convinced they are friends.

Haru turns out to have a very innocent personality, but who would've thought that Haru would actually confess to Shizuku?

A cold-hearted girl and super-troublemaker romance with a fresh new perspective.

(Source: MU)","['comedy', 'school', 'romance']"
,,,,,,,,
Tonari no Kaibutsu-kun,finished,https://media.kitsu.io/manga/poster_images/24407/large.jpg?1439398331,55,13,82.64,11970,"Mizutani Shizuku is the type of person who only cares for her own grades. But when she accidentally delivers lesson notes to Yoshida Haru, he becomes convinced they are friends.

Haru turns out to have a very innocent personality, but who would've thought that Haru would actually confess to Shizuku?

A cold-hearted girl and super-troublemaker romance with a fresh new perspective.

(Source: MU)","['comedy', 'school', 'romance']"
,,,,,,,,
Tokyo Crazy Paradise,finished,https://media.kitsu.io/manga/poster_images/1669/large.jpg?1434252915,111,19,82.64,978,"Life in the year 2020 in Tokyo is tough, as crime rates are high, and crimes against women rank second only to murders. To prevent their daughter from being exposed to these crimes, Tsukasa's parents raised her to be a male. Tsukasa aspires to be a policeman fighting against the yakuza, just like her parents. However, her parents died in the line of work, leaving behind Tsukasa and her 3 brothers to fend for themselves. Tsukasa must thus work as a bodyguard for her classmate, Ryuji, who happens to be the leader of the most powerful yakuza group in Tokyo, to pay off the family's debts.
[From ANN, edited]","['comedy', 'gender-bender', 'shoujo-ai', 'drama', 'romance', 'action']"
,,,,,,,,
Tokyo Crazy Paradise,finished,https://media.kitsu.io/manga/poster_images/1669/large.jpg?1434252915,111,19,82.64,978,"Life in the year 2020 in Tokyo is tough, as crime rates are high, and crimes against women rank second only to murders. To prevent their daughter from being exposed to these crimes, Tsukasa's parents raised her to be a male. Tsukasa aspires to be a policeman fighting against the yakuza, just like her parents. However, her parents died in the line of work, leaving behind Tsukasa and her 3 brothers to fend for themselves. Tsukasa must thus work as a bodyguard for her classmate, Ryuji, who happens to be the leader of the most powerful yakuza group in Tokyo, to pay off the family's debts.
[From ANN, edited]","['comedy', 'gender-bender', 'shoujo-ai', 'drama', 'romance', 'action']"
,,,,,,,,
Cat Street,finished,https://media.kitsu.io/manga/poster_images/3813/large.jpg?1434257515,37,8,82.64,1629,"The story centers around Keito Aoyama, a former famous child actor. Due to a childhood incident, she retired from her career early and withdrew from normal society. Now 16, she passes her days in boredom and without purpose. But one day she runs into a stranger who takes her to El Liston--a free school for high school students like herself, who don't have a place where they belong. Though hesitant at first, Keito decides to enter El Liston and subsequently, she begins a new stage in her life. With the help of her only remaining childhood friend, Taiyou, and her new classmates Rei, Momiji, and Kouichi, Keito slowly finds the courage to open up to others and to accept their support. Will Keito return to acting? Will she find true friends? Love? 
(Source: Condensation)","['drama', 'romance']"
,,,,,,,,
Sekaiichi Hatsukoi: Onodera Ritsu no Baai,ongoing,https://media.kitsu.io/manga/poster_images/20310/large.jpg?1439083415,,0,82.63,4006,"Onodera Ritsu has just transferred from his father's publishing company to Marukawa Shoten. Assigned to the shoujo manga division, he crosses path with the person he'd least expected to meet. Takano Masamune is the editor-in-chief of the division Ritsu's been assigned to, and the two seem get off on the wrong foot right from the very start when Takano unexpectedly kisses him. However, there is more to than what meets the eye: Takano is actually Saga, Ritsu's senpai and high school love, whom Ritsu had thought to have played him for a fool by taking his affections for granted when he confessed and summarily dumped him.","['comedy', 'yaoi', 'drama', 'romance']"
,,,,,,,,
Haikyo Shoujo,finished,https://media.kitsu.io/manga/poster_images/23697/large.jpg?1434301211,4,1,82.63,292,"1. Haikyo Shoujo
2. The Man Who Could See Music (音楽が見える男, Ongaku ga Mieru Otoko)
3. Tansu Shoujo (箪笥少女)
4. Boushi no Ue no Oka (帽子の上の丘)","['drama', 'romance', 'action']"
,,,,,,,,
20th Century Boys,finished,https://media.kitsu.io/manga/poster_images/12/large.jpg?1434249422,249,22,82.63,9594,"Humanity, having faced extinction at the end of the 20th century, would not have entered the new millennium if it weren't for them. In 1969, during their youth, they created a symbol. In 1997, as the coming disaster slowly starts to unfold, that symbol returns. This is the story of a group of boys who try to save the world.

For Kenji, a simple convenience store manager who once dreamed of becoming a rock 'n' roll musician, a host of memories from his past come rushing back when one of his childhood friends mysteriously commits suicide. Could this new death be related to the rise of a bizarre new cult that's been implicated in several other murders and disappearances? Determined to dig deeper, Kenji reunites with some of his old buddies in the hope of learning the truth behind it all.

(Source: Viz)","['sci-fi', 'mystery', 'psychological', 'historical', 'drama']"
,,,,,,,,
Sumire wa Blue,finished,https://media.kitsu.io/manga/poster_images/17399/large.jpg?1434287621,9,2,82.63,268,"Kinoshita Sumire…Does not participate in any co-curriculum activity and does not even like her own name. She first saw Makimura Daichi in the library. For some reason, she was very attracted to the way he twirls his pencil, and from then on, she started taking interest in him. Makimura Daichi…Part of a famous ice hockey team and is secretly in love with his childhood friend, Shouji… These two people have nothing in common at all, yet they are slowly getting closer to each other…!
(Source- Ochibichan)","['shoujo-ai', 'slice-of-life', 'romance']"
,,,,,,,,
20th Century Boys,finished,https://media.kitsu.io/manga/poster_images/12/large.jpg?1434249422,249,22,82.63,9594,"Humanity, having faced extinction at the end of the 20th century, would not have entered the new millennium if it weren't for them. In 1969, during their youth, they created a symbol. In 1997, as the coming disaster slowly starts to unfold, that symbol returns. This is the story of a group of boys who try to save the world.

For Kenji, a simple convenience store manager who once dreamed of becoming a rock 'n' roll musician, a host of memories from his past come rushing back when one of his childhood friends mysteriously commits suicide. Could this new death be related to the rise of a bizarre new cult that's been implicated in several other murders and disappearances? Determined to dig deeper, Kenji reunites with some of his old buddies in the hope of learning the truth behind it all.

(Source: Viz)","['sci-fi', 'mystery', 'psychological', 'historical', 'drama']"
,,,,,,,,
Kiseijuu,finished,https://media.kitsu.io/manga/poster_images/906/large.jpg?1434251261,64,10,82.63,9587,"They arrive in silence and darkness. They descend from the skies. They have a hunger for human flesh. They are everywhere. They are parasites, alien creatures who must invade–and take control of–a human host to survive. And once they have infected their victims, they can assume any deadly form they choose: monsters with giant teeth, winged demons, creatures with blades for hands. But most have chosen to conceal their lethal purpose behind ordinary human faces. So no one knows their secret–except an ordinary high school student. Shin is battling for control of his own body against an alien parasite, but can he find a way to warn humanity of the horrors to come?
(Source: Del Rey)","['sci-fi', 'psychological', 'thriller', 'horror', 'drama', 'action']"
,,,,,,,,
Dorohedoro,finished,https://media.kitsu.io/manga/poster_images/2435/large.jpg?1464982971,167,23,82.63,5326,"In a city so dismal it's known only as ""the Hole,"" a clan of Sorcerers have been plucking people off the streets to use as guinea pigs for atrocious ""experiments"" in the black arts. In a dark alley, Nikaido found Caiman, a man with a reptile head and a bad case of amnesia. To undo the spell, they're hunting and killing the Sorcerers in the Hole, hoping that eventually they'll kill the right one. But when En, the head Sorcerer, gets word of a lizard-man slaughtering his people, he sends a crew of ""cleaners"" into the Hole, igniting a war between two worlds.

(Source: Viz Media)","['comedy', 'fantasy', 'horror', 'action', 'adventure']"
,,,,,,,,
Sekaiichi Hatsukoi: Onodera Ritsu no Baai,ongoing,https://media.kitsu.io/manga/poster_images/20310/large.jpg?1439083415,,0,82.63,4006,"Onodera Ritsu has just transferred from his father's publishing company to Marukawa Shoten. Assigned to the shoujo manga division, he crosses path with the person he'd least expected to meet. Takano Masamune is the editor-in-chief of the division Ritsu's been assigned to, and the two seem get off on the wrong foot right from the very start when Takano unexpectedly kisses him. However, there is more to than what meets the eye: Takano is actually Saga, Ritsu's senpai and high school love, whom Ritsu had thought to have played him for a fool by taking his affections for granted when he confessed and summarily dumped him.","['comedy', 'yaoi', 'drama', 'romance']"
,,,,,,,,
Ouji to Ken,finished,https://media.kitsu.io/manga/poster_images/17539/large.jpg?1434287929,1,0,82.63,253,"The coldly gleaming crimson sword will protect the life of a prince on the run...
-Baka-Updates","['historical', 'shoujo-ai', 'romance']"
,,,,,,,,
Kiseijuu,finished,https://media.kitsu.io/manga/poster_images/906/large.jpg?1434251261,64,10,82.63,9587,"They arrive in silence and darkness. They descend from the skies. They have a hunger for human flesh. They are everywhere. They are parasites, alien creatures who must invade–and take control of–a human host to survive. And once they have infected their victims, they can assume any deadly form they choose: monsters with giant teeth, winged demons, creatures with blades for hands. But most have chosen to conceal their lethal purpose behind ordinary human faces. So no one knows their secret–except an ordinary high school student. Shin is battling for control of his own body against an alien parasite, but can he find a way to warn humanity of the horrors to come?
(Source: Del Rey)","['sci-fi', 'psychological', 'thriller', 'horror', 'drama', 'action']"
,,,,,,,,
Stand Up!,finished,https://media.kitsu.io/manga/poster_images/9563/large.jpg?1476476312,20,0,82.63,867,"Furuya Utako is shy and reserved, but because of her height (172cm), she sticks out like a sore thumb. Her mind is constantly plagued by thoughts of Harada Naoyuki, the popular boy who sits next to her in homeroom and claims that he'd like to be friends. She is a bit surprised at his straightforward attitude, but slowly the distance between them is starting to close...

(Source: Dazzling Scans)","['school', 'romance']"
,,,,,,,,
LUMINE,ongoing,https://media.kitsu.io/manga/poster_images/40912/large.jpg?1597699469,,,82.62,1327,"A runaway werewolf, Lumine, meets a witch boy named Kody and is being hired to work as his bodyguard. Lumine, being determined to befriend Kody, tries everything to get Kody to trust him, while Kody tries to keep Lumine away from him. Their life gets even more complicated after an unfortunate event that leaves them to try to survive on their own.

(Source: Line Webtoon)",['drama']
,,,,,,,,
Pandora Hearts,finished,https://media.kitsu.io/manga/poster_images/6490/large.jpg?1434263324,107,24,82.62,9721,"The air of celebration surrounding fifteen-year-old Oz Vessalius’s coming-of-age ceremony quickly turns to horror when he is condemned for a sin about which he knows nothing. He is thrown into the eternal prison known as the Abyss, from which there is no escape. There, he meets a young girl named Alice, who is not what she seems. Now that the relentless cogs of fate have begun to turn, do they lead only to crushing despair for Oz, or is there some shred of hope for him to grasp on to?

(Source: Yen Press)

Included one-shot:
Volume 8: Pandora Hearts (pilot)","['mystery', 'supernatural', 'sports', 'fantasy', 'adventure']"
,,,,,,,,
Pandora Hearts,finished,https://media.kitsu.io/manga/poster_images/6490/large.jpg?1434263324,107,24,82.62,9721,"The air of celebration surrounding fifteen-year-old Oz Vessalius’s coming-of-age ceremony quickly turns to horror when he is condemned for a sin about which he knows nothing. He is thrown into the eternal prison known as the Abyss, from which there is no escape. There, he meets a young girl named Alice, who is not what she seems. Now that the relentless cogs of fate have begun to turn, do they lead only to crushing despair for Oz, or is there some shred of hope for him to grasp on to?

(Source: Yen Press)

Included one-shot:
Volume 8: Pandora Hearts (pilot)","['mystery', 'supernatural', 'sports', 'fantasy', 'adventure']"
,,,,,,,,
GTO,finished,https://media.kitsu.io/manga/poster_images/766/large.jpg?1434250961,201,25,82.62,6198,"Onizuka is a reformed biker gang leader who has his sights set on an honorable new ambition: to become the world's greatest teacher... for the purpose of meeting sexy high school girls. Okay, so he's mostly reformed.However, strict administrators and a class of ruthless delinquents stand between Onizuka and his goal and they will use any means, however illegal or low, to drive the new teacher away. Perfect, because Onizuka's methods won't be found in any teaching manual; he cares about the difference between legal and illegal activities about as much as he cares for the age difference between himself and a high school girl.So get ready for math that doesn't add up, language you'd be slapped for using, and biology that would make a grown man blush... unless of course, you're the Great Teacher Onizuka.[Written by MAL Rewrite]","['comedy', 'school', 'drama', 'action', 'ecchi']"
,,,,,,,,
Pluto,finished,https://media.kitsu.io/manga/poster_images/1637/large.jpg?1449329231,65,8,82.62,4345,"In an ideal world where man and robots coexist, someone or something has destroyed the powerful Swiss robot Mont Blanc. Elsewhere a key figure in a robot rights group is murdered. The two incidents appear to be unrelated...except for one very conspicuous clue - the bodies of both victims have been fashioned into some sort of bizarre collage complete with makeshift horns placed by the victims' heads. Interpol assigns robot detective Gesicht to this most strange and complex case - and he eventually discovers that he too, as one of the seven great robots of the world, is one of the targets.

(Source: VIZ Media)","['sci-fi', 'mystery', 'psychological', 'thriller', 'mecha', 'action']"
,,,,,,,,
GTO,finished,https://media.kitsu.io/manga/poster_images/766/large.jpg?1434250961,201,25,82.62,6198,"Onizuka is a reformed biker gang leader who has his sights set on an honorable new ambition: to become the world's greatest teacher... for the purpose of meeting sexy high school girls. Okay, so he's mostly reformed.However, strict administrators and a class of ruthless delinquents stand between Onizuka and his goal and they will use any means, however illegal or low, to drive the new teacher away. Perfect, because Onizuka's methods won't be found in any teaching manual; he cares about the difference between legal and illegal activities about as much as he cares for the age difference between himself and a high school girl.So get ready for math that doesn't add up, language you'd be slapped for using, and biology that would make a grown man blush... unless of course, you're the Great Teacher Onizuka.[Written by MAL Rewrite]","['comedy', 'school', 'drama', 'action', 'ecchi']"
,,,,,,,,
Cardcaptor Sakura,finished,https://media.kitsu.io/manga/poster_images/276/large.jpg?1621518721,50,12,82.62,4641,"One day, Sakura Kinomoto accidentally opened a book containing dozens of magical cards called Clow Cards, and they scattered around her hometown of Tomoeda. Sakura was chosen to be the master of these cards and has been enlisted by the sun-based guardian Kerberos to use her magic and reclaim these cards before they make any more trouble in town. She is encouraged by her best friend Tomoyo Daidouji, and she meets a rival cardcaptor, Syaoran Li, who is a direct descendant of the creator of the Clow Cards. (Source: Anime News Network)","['comedy', 'magic', 'mahou-shoujo', 'fantasy', 'romance', 'adventure']"
,,,,,,,,
Cardcaptor Sakura,finished,https://media.kitsu.io/manga/poster_images/276/large.jpg?1621518721,50,12,82.62,4641,"One day, Sakura Kinomoto accidentally opened a book containing dozens of magical cards called Clow Cards, and they scattered around her hometown of Tomoeda. Sakura was chosen to be the master of these cards and has been enlisted by the sun-based guardian Kerberos to use her magic and reclaim these cards before they make any more trouble in town. She is encouraged by her best friend Tomoyo Daidouji, and she meets a rival cardcaptor, Syaoran Li, who is a direct descendant of the creator of the Clow Cards. (Source: Anime News Network)","['comedy', 'magic', 'mahou-shoujo', 'fantasy', 'romance', 'adventure']"
,,,,,,,,
Ringo Hoppe no Koi,ongoing,https://media.kitsu.io/manga/poster_images/8352/large.jpg?1434267428,3,1,82.62,241,"A collection of short stories:
- Ringo Hoppe no Koi  (also:  Blushing Love; Apple-Cheek Love)
Takami has a HUGE problem! She blushes at the drop of a hat, so everyone knows what she is thinking! She finally makes a decision to stop letting her fear of embarrassment control her -- she gets a job where her crush is working so that she can confess her feelings to him... but then things go awry in an unexpected way!
- Hinatabokko no Heya
- 24 Ko no Kurisumasu (24 Pieces of Christmas) 
(Source: Shoujo Magic)","['shoujo-ai', 'romance']"
,,,,,,,,
Ringo Hoppe no Koi,ongoing,https://media.kitsu.io/manga/poster_images/8352/large.jpg?1434267428,3,1,82.62,241,"A collection of short stories:
- Ringo Hoppe no Koi  (also:  Blushing Love; Apple-Cheek Love)
Takami has a HUGE problem! She blushes at the drop of a hat, so everyone knows what she is thinking! She finally makes a decision to stop letting her fear of embarrassment control her -- she gets a job where her crush is working so that she can confess her feelings to him... but then things go awry in an unexpected way!
- Hinatabokko no Heya
- 24 Ko no Kurisumasu (24 Pieces of Christmas) 
(Source: Shoujo Magic)","['shoujo-ai', 'romance']"
,,,,,,,,
Mo Dao Zu Shi,ongoing,https://media.kitsu.io/manga/poster_images/40740/large.jpg?1520817927,,,82.62,1284,"As the grandmaster who founded the Demonic Sect, Wei Wuxian roamed the world in his wanton ways, hated by millions for the chaos he created. In the end, he was backstabbed by his dearest shidi and killed by powerful clans that combined to overpower him. He incarnates into the body of a lunatic who was abandoned by his clan and is later, unwillingly, taken away by a famous cultivator among the clans—Lan Wangji, his archenemy. This marks the start of a thrilling yet hilarious journey of attacking monsters, solving mysteries, and raising children. From the mutual flirtation along the way, Wei Wuxian slowly realizes that Lan Wangji, a seemingly haughty and indifferent poker-face, holds more feelings for Wei Wuxian than he is letting on.

(Source: MU)",['none']
,,,,,,,,
Bitou Lollipop,finished,https://media.kitsu.io/manga/poster_images/23673/large.jpg?1434301162,34,7,82.62,382,"Madoka is surprised to discover that her parents have won a 100,000,000 yen (one million dollars) lottery. To make things worse, they inform her of their decision to pursue their lifelong dream of becoming doctors. What will happen to Madoka who, when deciding to stay behind, is left to fend for herself in a family acquaintance's (the Asagi's) guest house?

(Source: Forbidden Garden)","['comedy', 'slice-of-life', 'romance']"
,,,,,,,,
Bitou Lollipop,finished,https://media.kitsu.io/manga/poster_images/23673/large.jpg?1434301162,34,7,82.62,382,"Madoka is surprised to discover that her parents have won a 100,000,000 yen (one million dollars) lottery. To make things worse, they inform her of their decision to pursue their lifelong dream of becoming doctors. What will happen to Madoka who, when deciding to stay behind, is left to fend for herself in a family acquaintance's (the Asagi's) guest house?

(Source: Forbidden Garden)","['comedy', 'slice-of-life', 'romance']"
,,,,,,,,
Ao Haru Ride,finished,https://media.kitsu.io/manga/poster_images/7109/large.jpg?1448230360,20,6,82.61,5027,"Yoshioka Futaba has a few reasons why she wants to ""reset"" her image and life as a new high-school student. Because she's cute, she was ostracized by her female friends in junior high, and because of a misunderstanding, she couldn't get her feeling across to the one boy she has always liked, Tanaka-kun.

Now in high school, she is determined to be as unladylike as possible so that her friends won't be jealous of her. While living her life this way contentedly, she meets Tanaka-kun again, but he now goes under the name of Mabuchi Kou. He tells her that he felt the same way as she did when they were younger, but now things can never be the same again. Will Futaba be able to continue her love that never even started from three years ago?","['comedy', 'school', 'shoujo-ai', 'slice-of-life', 'drama', 'romance']"
,,,,,,,,
Rurouni Kenshin: Meiji Kenkaku Romantan,finished,https://media.kitsu.io/manga/poster_images/60/large.jpg?1571936060,259,28,82.61,5704,"The story of Rurouni Kenshin takes place during the early Meiji period in Japan. It tells the story of a peaceful wanderer named Himura Kenshin, formerly known as the assassin Hitokiri Battōsai. After participating during the Bakumatsu war, Kenshin wanders the countryside of Japan offering protection and aid to those in need as atonement for the murders he once committed as an assassin. When arriving in Tokyo, he meets a young woman named Kamiya Kaoru, who was in the middle of a fight with a murderer who claims to be the Hitokiri Battōsai from her swordmanship school. Kenshin decides to help her and defeats the fake Battōsai. After discovering that Kenshin is the real Battōsai, she offers him a place stay at her dojo as she notes Kenshin is a gentle person instead. Kenshin accepts and begins to establish lifelong relationships with many people, including ex-enemies, while dealing with his fair share of enemies, new and old. (Wikipedia) 
Also includes the one-shot: Crescent Moon Over A Country At War (Vol.6)","['historical', 'samurai', 'drama', 'action']"
,,,,,,,,
Fukumenkei Noise,ongoing,https://media.kitsu.io/manga/poster_images/8268/large.jpg?1434267241,,0,82.61,1227,"Nino is a girl who harbors feelings towards her friend, Momo. Just when she can no longer suppress her feelings, she encounters a boy who composes music...,"" and ""What is the promise Nino made to a boy she met who composes music?""

(Source: MU)","['music', 'drama', 'romance']"
,,,,,,,,
Basilis no Musume,finished,https://media.kitsu.io/manga/poster_images/2711/large.jpg?1434255115,16,4,82.61,210,"Japan, 1920: Momiji, a pretty 17-year-old girl, is an orphan. The wealthy Midorikawa family adopted her years before, when she was a child. Her best friend is Basilis, a splendid mare. Momiji is in love with one of the Midorikawa sons (one of her ""big brothers""), and the boy loves her too. But, trouble is, Momiji's adoptive father, the old Midorikawa clan head, wants to marry Momiji himself. Momiji tries to run away, but she is caught and eventually forced to marry her adoptive father.
Japan, 1997: a lot of time has passed, and all the previously mentioned characters are dead. But new characters are there, the descendants of the original ones... including a beautiful mare by the name of NeoBasilis... A new love triangle is forming between Ryouto, Shiyuka and Shikata.
(Source: Ultimate Manga Guide)","['shoujo-ai', 'drama', 'romance']"
,,,,,,,,
