title,status,image,chCount,vCount,rating,userCount,synopsis,genre
Kimetsu no Yaiba,finished,https://media.kitsu.io/manga/poster_images/37280/large.jpg?1597699338,207,23,84.4,29488,"Since ancient times, rumors have abounded of man-eating demons lurking in the woods. Because of this, the local townsfolk never venture outside at night. Legend has it that a demon slayer also roams the night, hunting down these bloodthirsty demons. For young Tanjirou, these rumors will soon to become his harsh reality...

Ever since the death of his father, Tanjirou has taken it upon himself to support his family. Although their lives may be hardened by tragedy, they've found happiness. But that ephemeral warmth is shattered one day when Tanjirou finds his family slaughtered and the lone survivor, his sister Nezuko, turned into a demon. To his surprise, however, Nezuko still shows signs of human emotion and thought...

Thus begins Tanjirou's quest to fight demons and turn his sister human again.

(Source: VIZ Media)

Volume 7 contains a bonus chapter about Kanao Tsuyuri.
Volume 10 contains a bonus chapter about Inosuke Hashibira.","['supernatural', 'historical', 'demons', 'action']"
,,,,,,,,
One Punch-Man,ongoing,https://media.kitsu.io/manga/poster_images/24147/large.jpg?1434302168,,0,84.37,85065,"Everything about a young man named Saitama screams ""AVERAGE,” from his lifeless expression, to his bald head, to his unimpressive physique. However, this average-looking fellow doesn't have your average problem... He's actually a superhero that's looking for tough opponents! The problem is, every time he finds a promising candidate he beats the snot out of them in one punch. Can Saitama finally find an evil villain strong enough to challenge him? Follow Saitama through his hilarious romps as he searches for new bad guys to challenge!

(Source: Viz)","['comedy', 'sci-fi', 'supernatural', 'super-power', 'parody', 'action']"
,,,,,,,,
Naruto Shinden Series,finished,https://media.kitsu.io/manga/poster_images/36702/large.jpg?1449854999,11,3,84.37,7393,The story will focus on the brothers who have eyes that see through to the truth and who live on the threshold of hope and despair. Itachi's past and Sasuke's future will be made clear.,"['martial-arts', 'super-power', 'action', 'adventure']"
,,,,,,,,
Hunter x Hunter,ongoing,https://media.kitsu.io/manga/poster_images/68/large.jpg?1501129943,,0,84.37,35441,"Hunters are a special breed, dedicated to tracking down treasures, magical beasts, and even other men. But such pursuits require a license, and less than one in a hundred thousand can pass the grueling qualification exam. Those who do pass gain access to restricted areas, amazing stores of information, and the right to call themselves Hunters.

(Source: Shonen Jump)","['psychological', 'super-power', 'fantasy', 'action', 'adventure']"
,,,,,,,,
Haikyuu!!,finished,https://media.kitsu.io/manga/poster_images/12619/large.jpg?1497274177,402,45,84.37,31492,"Ever since he saw the legendary player known as the ""Little Giant"" compete at the national volleyball finals, Shoyo Hinata has been aiming to be the best volleyball player ever! He decides to join the team at the high school the Little Giant went to-and then surpass him. Who says you need to be tall to play volleyball when you can jump higher than anyone else?

After losing his first and last volleyball match against Tobio Kageyama, ""the King of the Court,"" Shoyo Hinata swears to become his rival after graduating middle school. But what happens when the guy he wants to defeat ends up being his teammate?!

(Source: Viz Media)","['comedy', 'sports', 'sports', 'school', 'drama']"
,,,,,,,,
Naruto Ninden Series,finished,https://media.kitsu.io/manga/poster_images/20055/large.jpg?1434293495,5,1,84.37,35942,"A whole village has suddenly disappeared and in its place, there is the mountain Hyatsuki. Can the story of the ""Jutsu of the moving mountains"" really be true? And where is Narutos old rival Renge? Naruto's job is it to find the answers to all these questions.
Note: The novel is presented as if it were written by Jiraiya.","['sports', 'adventure']"
,,,,,,,,
Death Note,finished,https://media.kitsu.io/manga/poster_images/57/large.jpg?1438893086,108,12,84.36,57659,"Light Yagami is a brilliant 17-year-old student, one of the top scorers on his exams in all of Japan. One day as he leaves school, he finds a mysterious black notebook on the ground with ""Death Note"" written on it. The first thing written inside: ""The human whose name is written in the notebook shall die."" Light decides to use this to cleanse the world of evil by killing all the criminals. On the scene comes L, ace detective, who's determined to find Light—who the world now calls ""Kira""—and track him down, thus bringing us an epic psychological thrill ride.","['mystery', 'supernatural', 'psychological', 'drama']"
,,,,,,,,
Ansatsu Kyoushitsu,finished,https://media.kitsu.io/manga/poster_images/19682/large.jpg?1434292697,187,21,84.36,49873,"The students of class 3-E have a mission: kill their teacher before graduation. He has already destroyed the moon, and has promised to destroy the Earth if he can not be killed within a year. But how can this class of misfits kill a tentacled monster, capable of reaching Mach 20 speed, who may be the best teacher any of them have ever had?","['comedy', 'sci-fi', 'supernatural', 'psychological', 'school', 'action']"
,,,,,,,,
Boku no Hero Academia: Yuuei Hakusho,ongoing,https://media.kitsu.io/manga/poster_images/38138/large.jpg?1471390401,,0,84.35,311,"Prose short stories featuring the everyday school lives of My Hero Academia’s fan-favorite characters.

(Manga Updates)","['comedy', 'super-power', 'school', 'action']"
,,,,,,,,
Yakusoku no Neverland,finished,https://media.kitsu.io/manga/poster_images/38047/large.jpg?1490648273,181,20,84.34,23128,"Emma and her friends have a pretty good life at the orphanage they grew up in. Though the rules may be strict, the caretaker is kind. But why are the children forbidden from ever leaving...?

(Source: VIZ Media)","['sci-fi', 'mystery', 'horror']"
,,,,,,,,
The Last: Naruto the Movie,finished,https://media.kitsu.io/manga/poster_images/26999/large.jpg?1434308310,5,1,84.32,298,"The moon is beginning to fall, and at the rate it's going, it is doomed to fall on the Earth. The countdown for the survival of the planet begins. Among the havoc, Hinata's younger sister Hanabi is captured by the mysterious enemy, Toneri Ootsutsuki. Naruto must overcome great danger on a mission to save Hanabi and the world along with Hinata, Sai, Shikamaru, and Sakura is their final story. ""The final story is a first love.""

 (Source: ANN)","['martial-arts', 'super-power', 'action']"
,,,,,,,,
Koe no Katachi,finished,https://media.kitsu.io/manga/poster_images/16554/large.jpg?1537882352,64,7,84.3,53020,"Shoya is a bully. When Shoko, a girl who can't hear, enters his elementary school class, she becomes their favorite target, and Shoya and his friends goad each other into devising new tortures for her. But the children's cruelty goes too far. Shoko is forced to leave the school, and Shoya ends up shouldering all the blame. Six years later, the two meet again. Can Shoya make up for his past mistakes, or is it too late?

(Source: Kodansha Comics)","['school', 'drama', 'romance']"
,,,,,,,,
Solo Leveling,ongoing,https://media.kitsu.io/manga/poster_images/54114/large.jpg?1541956484,,,84.3,18107,"10 years ago, after “the Gate” that connected the real world with the monster world opened, some of the ordinary, everyday people received the power to hunt monsters within the Gate. They are known as ""Hunters"". However, not all Hunters are powerful. My name is Sung Jin-Woo, an E-rank Hunter. I'm someone who has to risk his life in the lowliest of dungeons, the ""World's Weakest"". Having no skills whatsoever to display, I barely earned the required money by fighting in low-leveled dungeons… at least until I found a hidden dungeon with the hardest difficulty within the D-rank dungeons! In the end, as I was accepting death, I suddenly received a strange power, a quest log that only I could see, a secret to leveling up that only I know about! If I trained in accordance with my quests and hunted monsters, my level would rise. Changing from the weakest Hunter to the strongest S-rank Hunter!

(Source: MU)",['none']
,,,,,,,,
Kimi no Na wa.,finished,https://media.kitsu.io/manga/poster_images/38482/large.jpg?1537883647,9,3,84.25,39539,"Based on the hit animated film! Mitsuha, a high school girl from a town deep in the mountains, dreams of an unfamiliar life in Tokyo. Taki, a high school boy from Tokyo, dreams that he is a girl living in the mountains. As the two change places in their dreams, their encounter sets a miraculous story into motion.

(Source: Yen Press)","['supernatural', 'school', 'drama', 'romance']"
,,,,,,,,
